UMAP1,UMAP2
9.468405,5.4341464
8.8614855,4.2363005
10.148913,3.8078833
8.834491,3.5508993
11.01412,3.5398679
9.507691,5.4447103
8.693243,3.1266034
9.111978,4.037335
10.903334,5.028058
7.261418,4.4145308
6.8182487,3.6017194
7.96086,4.3838606
7.3806148,4.0069785
4.8350453,3.5803397
8.934704,4.1588235
9.695356,3.989757
6.152671,4.5120673
6.7121415,3.1041338
6.6926575,3.818063
6.93712,2.9366024
6.6211653,3.2793975
8.4618025,3.525337
10.470163,4.775864
5.061676,2.0683172
10.755873,3.4598343
7.1885724,3.290831
10.766732,3.5606337
5.7352543,4.279186
8.974277,3.2689848
9.693981,5.4761333
6.2663746,3.86138
8.411318,3.8158004
10.399028,4.858335
6.3625727,3.3617122
9.736468,3.0817616
7.765864,4.65734
5.892279,4.5087166
7.1539516,3.0776556
5.935859,3.757932
10.420937,4.6430206
7.5327983,3.6730847
8.042415,3.7548068
10.307809,4.3778815
9.634791,2.9742339
7.9464197,3.5385392
6.5033994,3.9503775
10.487855,3.4469402
9.015114,3.9163694
10.623387,4.9545946
9.488288,5.5253587
6.3384156,3.2483258
9.597269,4.4880204
9.113778,2.879809
6.9430585,3.7606065
7.659048,4.561105
10.130376,4.210935
5.6509166,2.434099
7.6192985,3.7240648
6.792411,3.8030488
10.189812,3.8957508
6.9721336,4.0176644
2.3511329,5.677274
2.6479158,4.3093266
2.1901941,5.6079674
2.3588364,5.1428356
4.914178,3.6975737
4.570076,3.994534
3.0779326,4.6341376
3.0651588,4.357599
3.8370004,5.4605384
3.638225,2.6948624
5.8988338,2.7565753
5.2931995,3.9011865
3.1059022,5.187796
4.1293035,3.6304843
6.8791647,3.759217
2.9595168,5.0263104
3.3858836,5.691266
3.1113367,0.022061069
5.053527,3.4836063
2.341776,4.9484143
3.8989446,4.3190136
3.1878123,4.9366374
2.595392,5.009704
2.167419,5.496372
2.4716334,5.135551
2.4100032,5.5248656
2.976026,5.7795515
2.620408,5.682237
4.1798005,4.0189896
2.9143906,4.6084266
2.785373,5.5206485
2.8781621,5.150041
2.5765011,5.2396517
4.45821,3.9210782
2.2892802,5.7574077
3.3558104,5.5193067
2.2642434,5.055122
2.8846412,5.807171
3.6127264,4.457591
4.103471,3.9384534
4.9032393,1.8558357
6.6466436,3.291777
3.2112212,4.4829044
4.857105,2.5952492
5.9843664,2.4834046
4.4149284,5.0152965
4.1105757,4.9605517
2.8693159,5.4934874
3.8293872,2.2706122
4.3119125,4.643712
3.8598275,5.00924
2.2404344,5.7010846
5.238716,4.7816057
5.1101365,3.9293053
4.7642765,3.842827
6.689011,3.0698218
4.4183683,3.1778903
4.379013,2.967679
4.5578914,3.6193802
2.6243007,5.5117984
4.3121996,5.2117558
3.6240883,5.2332
3.9090087,3.1020093
5.1306624,4.5220766
3.4739425,3.9278681
5.553414,4.83228
3.7624633,2.2136853
2.4193377,4.9040895
2.8811052,4.727811
6.0511956,4.3541284
4.2102346,5.238697
3.821338,4.675446
2.7254841,5.044556
2.7497492,4.351037
5.1973376,4.8488955
3.1449554,5.6003485
4.395689,4.250707
3.5770178,3.4265654
3.5021443,5.0803733
10.785563,5.1213226
11.2111635,3.7325888
9.44434,5.205014
9.360948,3.7511911
9.501247,4.26714
4.940198,2.32438
6.9721475,4.5816393
9.872949,5.5009975
10.740232,5.112471
7.0067897,3.0346062
7.7703733,4.522858
9.893026,3.8532202
11.07172,3.5445127
10.119188,3.199469
9.653839,2.7930484
9.513089,4.963312
10.221617,5.126374
10.9933815,5.096636
10.474958,4.238983
9.129313,4.4825544
9.43785,3.3964214
9.646457,3.3738694
6.137452,2.9150426
11.255528,3.7608254
10.415909,3.5988479
10.900159,5.1404986
10.023908,2.7545376
10.128403,3.115519
7.4672513,4.589128
7.120952,3.6442857
10.5653305,4.6449285
7.8717313,4.7930355
11.315568,3.8110266
5.610354,4.0539017
10.380341,3.517036
8.689527,3.429859
11.1316805,3.6204402
9.711575,3.6153529
10.091727,2.8440578
9.659694,4.1816406
9.389939,5.433323
8.657294,4.1694174
11.04263,3.5399375
10.636678,4.564196
7.343828,3.1701336
9.480564,5.0504756
10.991268,3.5916266
11.054264,4.9606876
11.308438,3.9494784
6.5340157,3.5165687
4.146774,2.885915
3.8088531,2.8868434
6.3698835,2.954492
3.6802948,2.0667021
6.4170237,2.7843099
3.769558,3.0456429
4.4849644,2.82619
4.519503,3.360392
4.5791364,2.4899042
4.928608,1.7631007
2.5338066,4.7831864
4.7454004,1.9818223
4.3875966,2.4133198
4.522885,2.7553492
3.910369,3.2606516
5.884736,3.1243088
5.1848197,2.6664782
3.6767998,2.2058666
3.801654,4.159179
4.046312,2.1856647
5.3578897,2.2681184
4.490747,3.3974679
5.3449087,2.4978962
4.1053967,3.3608973
5.5042024,2.2148333
4.065262,4.2220097
3.9251833,3.830074
3.4184258,5.0095487
4.5854917,2.6414165
3.7625012,3.5415013
4.6390076,2.315731
3.9510784,3.0158944
5.1718445,2.0020163
3.8586955,4.064485
4.1163497,4.564761
4.88112,2.001906
4.0969405,2.913903
5.0373507,1.9651312
3.5276947,1.8437645
3.9340053,2.7531245
3.2856274,0.46960005
3.3359063,0.71372646
3.2895448,1.1809798
3.0307279,0.7975208
2.264095,-0.04094397
2.664255,0.28745657
3.0998263,0.70016783
3.07553,0.362811
3.332809,1.2163947
3.2336469,0.2861959
3.2448597,0.023747258
2.5862982,0.28215
3.6458995,0.8459471
3.2963958,0.28679502
2.9530647,0.8483162
2.2053955,-0.21929215
2.3529613,-0.13587925
3.1493897,-0.098003164
2.524156,-0.008494836
2.3451416,-0.05314415
3.2964053,1.0758644
2.3637655,-0.2342795
2.4429262,0.19525991
3.2078898,0.7689773
3.2497652,0.073194005
3.1729062,0.6591031
2.8765013,0.68588215
2.8547335,0.3972837
3.2210126,0.64383113
2.318616,-0.06712251
3.0827277,-0.11935947
2.255202,-0.14560503
2.8801212,0.68074423
3.349634,1.2908837
2.8125706,0.7883477
10.063885,4.71846
8.649741,2.9231436
9.97906,2.811337
10.067786,4.641588
9.959241,2.7443254
10.653806,4.9504123
9.56347,5.5024366
9.835445,4.9051156
9.801015,5.2885246
9.90275,5.090815
8.798527,2.955914
6.5528684,2.901169
6.986182,2.8063602
9.267873,4.0642495
8.940147,3.9216964
9.581041,2.9229817
9.472512,2.867593
9.49092,4.222294
10.336234,4.5367002
9.8856125,4.3455977
9.042362,5.255275
10.271991,3.8001823
10.261665,4.0954347
9.401933,3.1161957
9.702608,5.397897
8.533963,3.1076982
10.189418,3.8409038
9.353568,5.4498615
6.8207145,2.6710143
8.596393,2.997055
10.122806,2.9385936
10.611307,4.940554
10.158267,4.6960177
9.282598,2.9576437
10.3038435,3.7021806
